Ano;Mês;Código.IBGE.Município;Município;Densidade
2024;3;4102703;Barra do Jacaré;77,00781805
2020;4;4102703;Barra do Jacaré;65,01258540
2019;6;4102703;Barra do Jacaré;70,72995325
2019;3;4102703;Barra do Jacaré;70,37037037
2020;12;4102703;Barra do Jacaré;61,74038116
2024;9;4102703;Barra do Jacaré;68,00418702
2019;11;4102703;Barra do Jacaré;68,39266451
2023;9;4103602;Cambará;87,31581215
2019;12;4103602;Cambará;77,61041009
2022;8;4103602;Cambará;93,31753555
2024;1;4103602;Cambará;88,27229642
2021;7;4103602;Cambará;83,55430404
2020;8;4103602;Cambará;70,94557449
2024;4;4103602;Cambará;87,57001293
2019;10;4103602;Cambará;78,48186120
2019;8;4103602;Cambará;80,22476341
2020;6;4103602;Cambará;72,43296530
2022;1;4103602;Cambará;81,44628261
2022;10;4103602;Cambará;92,29211547
2019;9;4103602;Cambará;79,70820189
2022;3;4103602;Cambará;80,15565724
2022;12;4103602;Cambará;91,14174925
2021;5;4103602;Cambará;83,24432577
2022;2;4103602;Cambará;80,29254175
2020;10;4103602;Cambará;70,73745386
2024;5;4103602;Cambará;88,47479535
2023;2;4103602;Cambará;90,22404136
2023;1;4103602;Cambará;90,24558380
2022;6;4103602;Cambará;83,45261841
2021;3;4103602;Cambará;83,89617529
2019;1;4103602;Cambará;82,16774909
2020;2;4103602;Cambará;76,62854890
2023;4;4103602;Cambará;88,11719087
2020;4;4103602;Cambará;74,39274448
2021;6;4103602;Cambará;83,54668970
2023;6;4103602;Cambará;88,23782852
2021;4;4103602;Cambará;83,18149690
2020;1;4103602;Cambará;77,11750789
2020;11;4103602;Cambará;71,14191471
2023;11;4103602;Cambará;87,36320551
2021;8;4103602;Cambará;84,05882123
2022;9;4103602;Cambará;92,49030590
2024;6;4103602;Cambará;89,03920724
2019;4;4103602;Cambará;81,06684619
2019;7;4103602;Cambará;80,87145110
2024;9;4103602;Cambará;72,91506615
2024;7;4103602;Cambará;85,38625694
2024;11;4103602;Cambará;69,95305164
2022;7;4103602;Cambará;91,80094787
2021;1;4103602;Cambará;82,93803503
2023;10;4103602;Cambará;87,42783283
2020;3;4103602;Cambará;75,83990536
2023;3;4103602;Cambará;89,73718225
2019;5;4103602;Cambará;81,10644701
2021;12;4103602;Cambará;81,62227698
2021;11;4103602;Cambará;79,27177441
2022;5;4103602;Cambará;83,08498572
2021;9;4103602;Cambará;83,71856545
