"Código.IBGE.Município","Ano","Mês","UF","Município","Faixa.de.Velocidade","Velocidade","Tecnologia","Meio.de.Acesso","Tipo.de.Pessoa","Tipo.de.Produto","Acessos","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021"
4102406,2022,6,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",29,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,8,"PR","Bandeirantes","12Mbps a 34Mbps",30,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","0Kbps a 512Kbps",0.00938,"HDSL","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",4,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","12Mbps a 34Mbps",15,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",9,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","12Mbps a 34Mbps",30,"VDSL","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","> 34Mbps",100.00001,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","2Mbps a 12Mbps",8,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","512kbps a 2Mbps",1.024,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",13,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
